発信日,内容,リンク,,発信媒体,,,,,,,,
2023/09/07 12:57,"ぽんぬのつぶやき
【ツイートのリアル分析方法と本当は教えたくないデータ収集ツール】

◇ツイート分析方法とデータ収集ツール
・ツイート分析",https://youtu.be/CoCi8bVWpZo,https://youtu.be/CoCi8bVWpZo,・ついすぽの使い方,,,,,,,,
2023/09/11 13:49,"ぽんぬのつぶやき
【【完全版】図解連続投稿ロードマップ】",https://youtu.be/KQiziIdbmjQ,https://youtu.be/KQiziIdbmjQ,マインドマップ,,,,,,,,
2023/09/16 12:45,"ぽんぬのつぶやき
【データのお渡しってどうなの？】",https://youtu.be/W-ljPwOSWV4,https://youtu.be/W-ljPwOSWV4,,,,,,,,,
2023/09/17 14:00,"ぽんぬのつぶやき
【素材まとめページについて】",https://youtu.be/pOt21fhWRCg,https://youtu.be/pOt21fhWRCg,,,,,,,,,
2023/09/24 13:29,"ぽんぬのつぶやき
【依頼が来るシンプルなコツ】",https://youtu.be/G-bmgYj5X6o,https://youtu.be/G-bmgYj5X6o,,,,,,,,,
2023/09/29 8:40,"ぽんぬのつぶやき
【Twitterバン祭り(挙動が変な時)の考え方】",https://youtube.com/watch?v=ECq15LLgMwA&si=jK8na5DzmP_WIKJE,https://youtube.com/watch?v=ECq15LLgMwA&si=jK8na5DzmP_WIKJE,,,,,,,,,
2023/09/29 12:42,"ぽんぬのつぶやき
【Twitterバン祭り(挙動が変な時)の考え方】",https://youtu.be/vHzMGJgjOL8,https://youtu.be/vHzMGJgjOL8,,,,,,,,,
2023/09/30 16:02,"ぽんぬのつぶやき
【シャドウBAN・サーチBANの時の対処法【テンプレートあり】】",https://youtu.be/Jgd585T6Yv4,https://youtu.be/Jgd585T6Yv4,解説データ＆申請用テンプレ,,,,,,,,
2023/10/10 22:09,"ぽんぬのつぶやき
【リストの質とは？】",https://youtu.be/aNYkwdKqi2w,https://youtu.be/aNYkwdKqi2w,,,,,,,,,
2023/10/15 16:32,"ぽんぬのつぶやき
【『なぜのびているのか？』の本質の見つけ方】

クライアントの投稿作成をするときに
必ずやって欲しい考え方を解説しました！",https://youtu.be/zDoNNdyTYNs,https://youtu.be/zDoNNdyTYNs,,,,,,,,,
2023/10/18 15:26,"ぽんぬのつぶやき
【おかねとじかん　クライアントワークとk外注化】

私の考え方になりますが、稼いでいくために必要な考えだとおもうので動画をとりました！",https://youtu.be/mS99kdtpHNA,https://youtu.be/mS99kdtpHNA,,,,,,,,,
2023/10/20 16:43,"ぽんぬのつぶやき
【フリーランスの保険や社保など、リスクと対策】",https://youtu.be/gWsznzVoOEI,https://youtu.be/gWsznzVoOEI,,,,,,,,,
2023/10/30 13:52,"ぽんぬのつぶやき
【発信の『軸』でしっておいてほしいこと】

""私のアカウントでは〇〇を発信しています。
フォローすることによって〇〇を提供することが出来ます。
他のアカウントと違うところは〇〇です。""",https://youtu.be/uCpQnSyP3DM,https://youtu.be/uCpQnSyP3DM,,,,,,,,,
2023/12/14 11:27,"ぽんぬのつぶやき
【フォロワー3桁台の人がXで優位に活躍する方法】",https://youtu.be/5HZJqGK97vI,https://youtu.be/5HZJqGK97vI,,,,,,,,,
2023/12/25 16:51,"ぽんぬのつぶやき
【X図解料金設定完全版】
今日のすいさんの共有してくれたデータをもとに、私の方でも解説を入れました。",https://youtu.be/P4Li7ddz4P8,https://youtu.be/P4Li7ddz4P8,,,,,,,,,
2023/12/30 15:17,ちょっと1日早いですが、皆様、ことしは関わってくれて、講座にはいってくれてありがとうございました！今日のぽんぬのつぶやきです。,https://youtu.be/vp7eztOtRSA,https://youtu.be/vp7eztOtRSA,,,,,,,,,
2024/01/05 7:56,"あけましておめでとうございます！
新年1発目のぽんぬの呟きは

「成長思考の作り方」

ぜひ、読んでみてください",https://note.com/preview/n7037d3cfbb84?prev_access_key=b747d746d5661efaf0286f16ed8c4574,https://note.com/preview/n7037d3cfbb84?prev_access_key=b747d746d5661efaf0286f16ed8c4574,,,,,,,,,
2024/01/17 14:27,"今日のぽんぬのつぶやきは
図解のバリュー（価値の出し方）【既存クライアント向け】
です。

質問がきたのでそれに対するアンサーとなっています。
必ずみんなぶち当たる壁（わたしもぶち当たってきた）なので、チェックしてください！

※会員サイトにもアップしています
❶",https://youtu.be/-uSOS2XPNJk,https://youtu.be/-uSOS2XPNJk,❷,,,,,,,,
2024/01/20 9:52,"今日のぽんぬのつぶやきは
図解のバリュー（価値の出し方）【新規獲得編】
です。

お問い合わせがきたときや、ライバルと比較検討されてる時に自分を選んでもらうための方法です。かならずみなさんやってください！

※会員サイトにもアップしています。テンプレなどは会員サイト参照！",https://utage-system.com/members/3HUbzBtt1Ijc/course/JCJpDbZNUjMc/lesson/k8G1fqmIsY7c,https://utage-system.com/members/3HUbzBtt1Ijc/course/JCJpDbZNUjMc/lesson/k8G1fqmIsY7c,,,,,,,,,
2024/01/22 10:25,"今日のぽんぬのつぶやき
「人が成長するのは〇〇〇た時」

新しく入会されたかたもいますので、根本的な話ですが、大事なことになります。
ぜひ聞いてください！",https://youtu.be/CQzGSFxyDq4,https://youtu.be/CQzGSFxyDq4,,,,,,,,,
2024/01/23 5:38,"クライアントワークの中でフィードバックをもらいながら成長していこうと思っていましたが
なかなか案件獲得に繋がらない状況なので添削依頼でフィードバックをお願いさせてもらおうと思いました",https://youtu.be/CQzGSFxyDq4,,,,,,,,,,
2024/02/01 10:29,"今日のぽんぬのつぶやきは『挑戦する時に考えること』です。
今日から2月スタートです！！
気持ちも新たに、全員で前に進んでいきましょ",https://youtu.be/pSfSkuDIY6k,https://youtu.be/pSfSkuDIY6k,,,,,,,,,
2024/02/08 10:56,"【ぽんぬが使ってる長文テンプレート】

【タイトル】
激的に伸びる長文ポストの作成方法

【なぜこれを解説するのか】
長文ポストが伸びやすいから

【この投稿を読んで得られること】
伸びる長文ポストの書き方
インプレッションの増加

【箇条書きで内容説明】
・伸びるタイトルの作り方
・伸びる長文ポストの方
・実際の作り方


【まとめ】
長文ポストはマジで伸びる

【メッセージ】
長文を作るのには労力がいるからこそ、やり続けるだけで上位1%になることができる

【CTA】
さらにもっと運用を上手くなりたい人はLINEへ

これ作ってからかき始めるとやりやすくなると思う",https://discord.com/assets/6550bf7986e6b411.svg,4,,,,,,,,,
2024/02/08 11:24,【白色確定申告のほうほう】,https://www.youtube.com/watch?v=lBCXc-2MQcY,,,,,,,,,,
2024/02/27 23:18,長文作成時の構成,https://philipptarohiltl.com/copywriting-pastorformula/,,,,,,,,,,
2024/03/14 22:14,"【投稿する図解の色は統一すべき？】
ちょうどハリーさんが良い質問をしてくださったので、ぽんぬの呟きで回答しました！
図解の継続依頼がある場合、結構な確率で言われることでもあるので、必聴です",https://youtu.be/8Fh9h1lK1pI,,,,,,,,,,
2024/04/02 17:10,【SNSつかってビジネスするなら考えるべき発信】,https://youtu.be/yxqOmmasEX4,,,,,,,,,,
2024/05/25 10:29,"【エネルギーとGIVE&TAKEが起きた話】
めちゃくちゃ伝えたくなったので動画を撮りました",https://youtu.be/yaNc-_pNbo8?si=Ryjyz3X0qQ7SZlb4,,,,,,,,,,
2024/06/05 10:58,【図解デザイナーの月収のアッパーに挑戦した話とその後】,https://www.loom.com/share/0f4fa207699b4eaab3fbd14c1f7c0a62?sid=ad653857-16f9-4f27-8933-2d96f3e86a49,,,,,,,,,,
2024/06/05 11:18,"ん〜

なんというか、コンセプトメイクに関しては自転車の乗り方とか逆上がりのやり方を教えるのとかなり近くて

多分おびさんもそこまでコンセプトうまくはない、正直な話
同席する機会なんどかあったけどレベル感はそこまでかわらないなぁという印象で
人脈形成でうまく行ってるパターンなので

私自信が
１：逆上がりの方法を口頭で習い
２：実践を何度かやってみて
３：もうちょっとでぐるん！と回れそうな時も何回かあったけど、まだ一度も成功していないという段階なんだよね。

なので、教えられるのは１のみだね",,,,,,,,,,,
2024/06/05 17:16,"【いわせてくれ・・・】

40代女性で副業サポートやママコミュ運営系の人たち
なんでみんな打ち合わしましょうか？ってなるとこのツールから予約してくれますか？ってなるの・・・・

じわじわストレス溜まる・・・これは本当に悪手ですわ・・・

そんなとこ行ってセミナーしたくないよう・・・",,,,,,,,,,,
2024/07/08 19:36,"あらためて！ぽんぬの呟き取りました！
「気分が落ちた時の解消方法」",https://www.loom.com/share/683249d9378148a184587c3dcb08e081?sid=934110b0-e1f2-4c73-a8fe-6befae49bcbf,,,,,,,,,,
2024/07/10 5:51,"【ぽんぬのつぶやき】
質問に答えました！
・案件獲得のための動き方
・お問い合わせDMってどんなのがくるの？
・コミュニティ入った方がいいの？",https://www.loom.com/share/38776ab97d2a4cbc9d7cd3a7051928a8?sid=f014ebbb-4cbb-42f0-8853-0e6e6f25eddb,,,,,,,,,,
2024/07/16 14:09,"【案件獲得の取れる速さと、重要度】

私が思う「案件獲得」と取るべき行動についての考え方を表にして解説しました

ゆうさん、みよさん、あいさんからの質問回答の意味もあります！",https://www.loom.com/share/1899f83a46a04ede9e472eef30043b32?sid=27a45b96-41b1-4f73-9193-eb4ec6746bf2,,,,,,,,,,
2024/07/17 0:24,"どんなにすごい人でもどんなに稼げている人でも

直感で

「あ、この人キモい、関わらない方がいい」

って感じた人は関わらないようにしてます。

SNSは割とそこがミソだと思ってます。

SNSで目立つ人は
「何かが普通ではなく異常だから目立つ」ので

そこの異常値が、自分にとって許容できるかできないかの判断軸は持っておくべき。


だから今関わってる人は
純粋に信じて尊敬して関わりたいと思える人ばかりなんだと思ってます。


あとはど偏見だけど20代で稼げてしまったグイグイしてる男の子は基本的にミュートします

みてて胸焼けしそうになるモワモワしたキモさがある...これは言語化できん",,,,,,,,,,,
