正規化名（添削）,Discord ID
みきてぃ,happymikity
みず,energetic_piglet_06050
まっつん,matsutsun_55435
ありす,arisu_03238
かおり,k.orin3_
ayao,ayako823
shokeihal,tukachan_
あずさ,azusa_41340
まいん,kei1003
yuri˚₊,yu.073014
智愛（ともえ）,vingt.trois7.tomo
ゆっこ　提出テスト,yukko_0519
.kazumin369,かずみん
chiharu,chiharururu
すず,mana__0513
misokichi,misokichi029820_36739
泉美,marusawato
るっぺ,ruppe_19
miffu21,ある
すん,Sun043080
jum,jun006594
もりこp,hisa.0912
akko,akko_nog
あさちゃん(昨日のurl編集可に変更）,asatyan
naru,naru_0308
もりん,morimo.16
@名越,naomi_90663
nei,nei1027
みっこ,m_mikiko
mii207928,mii207928
じゅり,juri_nakao
くるみ、,_riiicaaa.
のぞみp,wa_chicho
https://www.canva.com/design/dag-xbwj,yurina58
ii,mii195
kiriko,miyakunikiriko
いろは168,karimero31923
iku,754490062
seisan78,seisan78
水菜(みずな),shuicai0880
yokoyamaharuka.,haru
みう,confident_raccoon_76620
chihayu,chi007431
なおみん,naominmin555
あらはら かなみ,araharakanami
ゆと,yuto.98
ふぁみ,fami_ph
むら,mu_ra.05
mikitty,miki_29078
ゆめな,nayume_333
"nana,i",nana_18257
mikkitty,mikitty_R
もりゆき,moriyuki_design
さとう,yokogurashi
コハル,koharu1298
かあり,kaari_12247
momo,ももてぃ
やま,juju42414_62976
茶子,chaco0376
ひなこ,kinako0924727
かなこ,mutsugorou3
ゆうか,k.yuka0701
タケムラヤヨイ,takemurayayoi
mayumi,maminney
s,IDが分かりません
ばる,baru_zkd
えみ,energetic_piglet_06050
nana.i,nana_18257
きょん,kkk._.kkk._._47773
ちゅん,chun_671
ちゃこ（「茶子」から変更しました）,chaco0376
ちゃこ（茶子から変更いたしました）,chaco0376
hikaru0425,Hikaru
かっち,kctk_25
@小枝 こえだ,koeda_kurico
えむ　図解基礎,emu__0211
ちーず,cheese_mnm
ayaka,xxayaxx123
えむ(図解応用),emu__0211
kei1003,kei
まりっか,rimaca103
なのは,nanoha_2025
あやっぺ,aya726k_84231
pochiko,pochiko_2025
さっこ,sakko0425_52954
ぶん,fumiko3434
yaka2074,やか
かなと,kanaderu0129
p0chiko,pochiko_2025
nanri,nanri_zukai
hiratsuko,ひらつこ
まるり,alice8er
小枝＿こえだ,koeda_zukai
もりこ‐r,hisa.0912
yorid,yorida1227
小枝こえだ,koeda_zukai
ぽんぬ　提出テスト,ponnuzukai
うっきーr,ucckiee_28
まい,chaichaba
小枝koeda,koeda_zukai
あさちゃん（その1とその2）２つあります,asatyan
あさちゃんその2,asatyan
あさちゃんその１（本日提出分を訂正しました））,asatyan
azusa,Azusa_R
あさちゃん（その1）,asatyan
あさちゃん（その2）,asatyan
natsumi0747,nachi_S
yuri₊⁎,yu.073014
なのはr,nanoha_2025
ｋｕｍｉｋｏ,km0622002
nissiy,harurunjpnbaburun4777
あさちゃん（再修正しました）,asatyan
