正規化名,元の名前の例,ID一覧,ID数
小枝 こえだ,小枝 こえだ_G / 小枝 こえだ_P,koeda_kurico / koeda_zukai,2
ちひろ,ちひろ / ちひろ_P,chihiro31mh / chihiro_de,2
なみぃ,なみぃ,Namiy202512 / Namy202512,2
りん,りん / りん🐈_S / りん🐈_Ｓ,Rin5to832 / https://www.canva.com/design/DAG01vnubf8/B1fHRqSViWFFbXA58i-u-g/edit?utm_content=DAG01vnubf8&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton / rin5to832,3
kumiko,Kumiko / Kumiko_R / kumiko / kumiko_S,km0622002 / kumiko_15879,2
よしりん,よしりん / よしりん＿R,yoshirin0312 / yoshirin312 / ｙoshirin0312,3
はち,はち,hachi-zukai / hachi_zkd / hachi_zukai / hchi_zukai,4
まいあ,まいあ_G / まいあ_P / まいあ_R / まいあ_S,mm101403 / ｍｍ101403,2
ゆう,ゆう / ゆう_R,you yuu / yuu_you / yuu_you_,3
ゆの,ゆの,Yuzuno 22 / Yuzuno22 / yuzuno22,3
sen,Sen / sen / sen_G / sen_P / sen_S,Sen.1031 / sen04081995,2
きょうこ,きょうこ / きょうこ_S / きょうこ＿R / きょうこ＿S / きょうこ＿Ｓ,3503690865 / Kyoko_i12 / kyoko_i12,3
もりこ,もりこ / もりこ-R / もりこ-S / もりこ_G / もりこ_R,hisa.0216 / hisa.0912 / hisa.912 / hisa0912 / hish0912,5
ヒナ,ヒナ,.humikiri / fumikiri. / humikiri.,3
マユ,マユ / マユ_R / マユ_S / マユ‗R / マユ＿R,mayu000386 / マユ mayu000386,2
roco,ROCO / ROCO_R / ROCO＿R,ROCO.24・ろこ / roko.24,2
ゆかり,ゆかり / ゆかり_R / ゆかり_S,ganchuanyukari_31296 / yucari373,2
moyashi,moyashi / moyashi_G / moyashi_s,moyashi / moyashi02810_83381 / moyashi0281_83380 / moyashi0281_83381,4
あさちゃん,あさちゃん,asatyan / asatyanその1(その1とその2があります）,2
yoko,Yoko / yoko,02499 / Yokogrunberg / yoko02499 / yokogrunberg,4
ゆきんこ,ゆきんこ / ゆきんこ_R,yukinko0521 / yukinko1215_64425,2
りんご,りんご,Ringo_0723 / rigno_0723 / ringo=0723 / ringo_0723,4
みおり,みおり,miori_note / みおり_G,2
けいk,けいK / けいK_R,kobayashi_keiko / kobayashi_keko,2
みちよ,みちよ / みちよ_R / みちよ＿R,michiyo_3203 / michiyo＿3203 / midhiyo_3203,3
kan,Kan / kan,2733527335 / 2735527335,2
ひらつこ,ひらつこ,hiratsuko / hirtatsuko,2
koko,koko,shib33588 / shin33588,2
さやか,さやか,s.u.0314 / sayaka_98541,2
りすざる,りすざる_G / りすざる_R / りすざる_S / りすざる＿S,monkey.risu / monkey.risuzaru,2
yuki,YUKI / yuki,y.u_kiii / yuki214824,2
ぎっちょ,ぎっちょ,gitsuchiyo0080 / gitsuchiyo0800,2
いの,いの,ino_5193 / mayonne43430,2
ひより,ひより,o0hiyori0o. / oOhiyoriOo.,2
はる,はる / はる_R / はる_S / はる＿R / はる＿S,brooklet0905 / haruharu05_chan,2
おこじょ,おこじょ,okojo0919 / okojo8110,2
まき,まき,maki082595 / makio82595,2
ayumi,Ayumi / ayumi,mayu.1113 / mayu1113 / nsmkaym / otooayumi,4
くるみ,くるみ,_riicaaa. / _riiicaaa. / riiicaaa.,3
